prefixo_veiculo,veiculo_acessivel_pessoas_deficiencia,horario_universal_localizacao_capturada,latitude_localizada,longitude_localizada,sv,is,hora_referencia_infos,letreiro_completo,codigo_linha,sentido_linha,letreiro_destino_linha,letreiro_origem_linha,quantidade_veiculos_localizados
86177,True,2024-10-14T00:14:30Z,-23.629364250000002,-46.7076085,,,21:14,736G-10,33548,2,SHOP. MORUMBI,JD. INGÁ,1
25638,True,2024-10-14T00:13:57Z,-23.442846,-46.57655,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25633,True,2024-10-14T00:14:14Z,-23.4512405,-46.576457500000004,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25635,True,2024-10-14T00:14:33Z,-23.527362500000002,-46.6269225,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25211,True,2024-10-14T00:13:58Z,-23.4802815,-46.6000715,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25650,True,2024-10-14T00:14:32Z,-23.442846,-46.57655,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
68167,True,2024-10-14T00:14:16Z,-23.61763275,-46.639095749999996,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68426,True,2024-10-14T00:14:23Z,-23.678414500000002,-46.63006525,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68353,True,2024-10-14T00:13:23Z,-23.680863625,-46.63258437499999,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68367,True,2024-10-14T00:14:34Z,-23.6509175,-46.640114,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68707,True,2024-10-14T00:14:21Z,-23.680918874999996,-46.632875125,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
66781,True,2024-10-14T00:14:34Z,-23.709000500000002,-46.699838,,,21:14,6076-41,1986,1,TERM. STO. AMARO,JD. SATÉLITE II,1
61415,True,2024-10-14T00:14:28Z,-23.753096,-46.6885345,,,21:14,675R-10,109,1,METRÔ JABAQUARA,GRAJAÚ,1
21710,True,2024-10-14T00:13:58Z,-23.515946749999998,-46.61641775,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21749,True,2024-10-14T00:14:28Z,-23.50618525,-46.624988875,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21734,True,2024-10-14T00:14:30Z,-23.5425185,-46.590292500000004,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21709,True,2024-10-14T00:14:20Z,-23.516675,-46.616491499999995,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21704,True,2024-10-14T00:14:28Z,-23.516318499999997,-46.616457999999994,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
32129,True,2024-10-14T00:14:34Z,-23.4789165,-46.384702000000004,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
32146,True,2024-10-14T00:14:32Z,-23.4899815,-46.436840000000004,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
32943,True,2024-10-14T00:14:35Z,-23.505524,-46.4571075,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
32252,True,2024-10-14T00:14:30Z,-23.525672,-46.524723125,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
21620,True,2024-10-14T00:13:56Z,-23.65404,-46.63784,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
